variable,variable_name,variable_url,spectra_type,subset,geo,model,model_path,model_summary,description,pca.model.mir,pca.model.visnir,pca.model_path,accuracy_plot_png,R_square,RSME,N,pca_plot_rds,model_wasabi_url,model_wasabi_size_MB,pca.model_wasabi_url
silt.tot_usda.3a1_wpct,Total silt (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#silt.tot_usda.3a1_wpct,mir,kssl,na,mir_mlr..eml_kssl_na_v1.rds,/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/mir_mlr..eml_kssl_na_v1_resultsFit.txt,Ensemble ML model to predict Total silt (USDA system) content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/ap.mir_mlr..eml_kssl_na_v1.rds.png,0.873,8.1,36838,/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/mir_mlr..eml_kssl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
silt.tot_usda.3a1_wpct,Total silt (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#silt.tot_usda.3a1_wpct,mir,kssl,ll,mir_mlr..eml_kssl_ll_v1.rds,/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/mir_mlr..eml_kssl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total silt (USDA system) content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/ap.mir_mlr..eml_kssl_ll_v1.rds.png,0.706,10.4,14398,/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/mir_mlr..eml_kssl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
silt.tot_usda.3a1_wpct,Total silt (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#silt.tot_usda.3a1_wpct,visnir,ossl,na,visnir_mlr..eml_ossl_na_v1.rds,/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/visnir_mlr..eml_ossl_na_v1_resultsFit.txt,Ensemble ML model to predict Total silt (USDA system) content in wpct using ossl data,,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/ap.visnir_mlr..eml_ossl_na_v1.rds.png,0.715,12.2,37464,/ossl_models/pca.ossl/mpca_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/visnir_mlr..eml_ossl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/
silt.tot_usda.3a1_wpct,Total silt (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#silt.tot_usda.3a1_wpct,mir,ossl,ll,mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total silt (USDA system) content in wpct using ossl data,mpca_mir_ossl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/ap.mir_mlr..eml_ossl_ll_v1.rds.png,0.693,11,17560,/ossl_models/pca.ossl/mpca_mir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
silt.tot_usda.3a1_wpct,Total silt (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#silt.tot_usda.3a1_wpct,visnir.mir,ossl,ll,visnir.mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/visnir.mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total silt (USDA system) content in wpct using ossl data,mpca_mir_ossl_v1.rds,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/ap.visnir.mir_mlr..eml_ossl_ll_v1.rds.png,0.753,9.8,17467,/ossl_models/pca.ossl/mpca_mir_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/silt.tot_usda.3a1_wpct/visnir.mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
clay.tot_usda.3a1_wpct,Total clay (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#clay.tot_usda.3a1_wpct,mir,kssl,na,mir_mlr..eml_kssl_na_v1.rds,/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/mir_mlr..eml_kssl_na_v1_resultsFit.txt,Ensemble ML model to predict Total clay (USDA system) content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/ap.mir_mlr..eml_kssl_na_v1.rds.png,0.876,4.9,36824,/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/mir_mlr..eml_kssl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
clay.tot_usda.3a1_wpct,Total clay (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#clay.tot_usda.3a1_wpct,mir,kssl,ll,mir_mlr..eml_kssl_ll_v1.rds,/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/mir_mlr..eml_kssl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total clay (USDA system) content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/ap.mir_mlr..eml_kssl_ll_v1.rds.png,0.853,6,14388,/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/mir_mlr..eml_kssl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
clay.tot_usda.3a1_wpct,Total clay (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#clay.tot_usda.3a1_wpct,visnir,ossl,na,visnir_mlr..eml_ossl_na_v1.rds,/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/visnir_mlr..eml_ossl_na_v1_resultsFit.txt,Ensemble ML model to predict Total clay (USDA system) content in wpct using ossl data,,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/ap.visnir_mlr..eml_ossl_na_v1.rds.png,0.733,7.3,37465,/ossl_models/pca.ossl/mpca_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/visnir_mlr..eml_ossl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/
clay.tot_usda.3a1_wpct,Total clay (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#clay.tot_usda.3a1_wpct,mir,ossl,ll,mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total clay (USDA system) content in wpct using ossl data,mpca_mir_ossl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/ap.mir_mlr..eml_ossl_ll_v1.rds.png,0.83,7.2,17545,/ossl_models/pca.ossl/mpca_mir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
clay.tot_usda.3a1_wpct,Total clay (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#clay.tot_usda.3a1_wpct,visnir.mir,ossl,ll,visnir.mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/visnir.mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total clay (USDA system) content in wpct using ossl data,mpca_mir_ossl_v1.rds,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/ap.visnir.mir_mlr..eml_ossl_ll_v1.rds.png,0.843,6.9,17452,/ossl_models/pca.ossl/mpca_mir_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/clay.tot_usda.3a1_wpct/visnir.mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
sand.tot_usda.3a1_wpct,Total sand (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#sand.tot_usda.3a1_wpct,mir,kssl,na,mir_mlr..eml_kssl_na_v1.rds,/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/mir_mlr..eml_kssl_na_v1_resultsFit.txt,Ensemble ML model to predict Total sand (USDA system) content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/ap.mir_mlr..eml_kssl_na_v1.rds.png,0.897,9.85,36838,/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/mir_mlr..eml_kssl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
sand.tot_usda.3a1_wpct,Total sand (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#sand.tot_usda.3a1_wpct,mir,kssl,ll,mir_mlr..eml_kssl_ll_v1.rds,/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/mir_mlr..eml_kssl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total sand (USDA system) content in wpct using kssl data,mpca_mir_kssl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/ap.mir_mlr..eml_kssl_ll_v1.rds.png,0.821,11.9,14398,/ossl_models/pca.ossl/mpca_mir_kssl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/mir_mlr..eml_kssl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_kssl_v1.rds
sand.tot_usda.3a1_wpct,Total sand (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#sand.tot_usda.3a1_wpct,visnir,ossl,na,visnir_mlr..eml_ossl_na_v1.rds,/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/visnir_mlr..eml_ossl_na_v1_resultsFit.txt,Ensemble ML model to predict Total sand (USDA system) content in wpct using ossl data,,mpca_visnir_ossl_v1.rds,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/ap.visnir_mlr..eml_ossl_na_v1.rds.png,0.732,15.9,37464,/ossl_models/pca.ossl/mpca_visnir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/visnir_mlr..eml_ossl_na_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/
sand.tot_usda.3a1_wpct,Total sand (USDA system) content in wpct,https://soilspectroscopy.github.io/ossl-manual/database.html#sand.tot_usda.3a1_wpct,mir,ossl,ll,mir_mlr..eml_ossl_ll_v1.rds,/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/mir_mlr..eml_ossl_ll_v1_resultsFit.txt,Ensemble ML model to predict Total sand (USDA system) content in wpct using ossl data,mpca_mir_ossl_v1.rds,,/soilspectroscopy/ossl_models/pca.ossl/,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/ap.mir_mlr..eml_ossl_ll_v1.rds.png,0.799,12.7,17508,/ossl_models/pca.ossl/mpca_mir_ossl_plot.rds,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/sand.tot_usda.3a1_wpct/mir_mlr..eml_ossl_ll_v1.rds,,http://s3.us-east-1.wasabisys.com/soilspectroscopy/ossl_models/pca.ossl/mpca_mir_ossl_v1.rds
